Lot Num,Artist Name,Year Of Artwork,Genre,Real Price Usd,Event Date,country,TotalSales
5121409,Erro,1969,Sculpture,"3,154",10/27/2013,France,1
5121413,Erro,1972,Sculpture,"9,199",10/27/2013,France,1
5121415,Erro,2008,Paintings,"11,828",10/27/2013,France,1
5121417,Erro,2000,Paintings,"9,989",10/27/2013,France,1
5122107,Erro,1960,Paintings,null,10/27/2013,France,1
5135494,Erro,1967,Paintings,"5,333",11/12/2013,Sweden,1
5135659,Erro,1958,Paintings,"18,465",10/29/2013,France,1
5135660,Erro,1959,Works on Paper,"2,241",10/29/2013,France,1
5135661,Erro,1959,Works on Paper,"1,186",10/29/2013,France,1
5135662,Erro,1959,Works on Paper,"1,186",10/29/2013,France,1
5135663,Erro,1960,Paintings,"11,870",10/29/2013,France,1
5135664,Erro,1960,Paintings,"7,913",10/29/2013,France,1
5135665,Erro,1959,Works on Paper,"1,186",10/29/2013,France,1
5135666,Erro,1959,Works on Paper,"1,121",10/29/2013,France,1
5135667,Erro,1959,Works on Paper,"1,450",10/29/2013,France,1
5135668,Erro,1959,Works on Paper,"1,319",10/29/2013,France,1
5135669,Erro,1959,Works on Paper,"3,165",10/29/2013,France,1
5135670,Erro,1959,Works on Paper,"2,506",10/29/2013,France,1
5135671,Erro,1959,Works on Paper,"3,298",10/29/2013,France,1
5135672,Erro,1959,Works on Paper,"1,979",10/29/2013,France,1
5135673,Erro,1959,Works on Paper,923,10/29/2013,France,1
5135674,Erro,1958,Paintings,"11,870",10/29/2013,France,1
5135675,Erro,1958,Paintings,"7,649",10/29/2013,France,1
5135681,Erro,1975,Works on Paper,"2,110",10/29/2013,France,1
5135682,Erro,1971,Paintings,"22,422",10/29/2013,France,1
5135691,Erro,1986,Paintings,"10,287",10/29/2013,France,1
5142148,Erro,2010,Paintings,null,11/20/2013,France,1
5142149,Erro,2012,Paintings,null,11/20/2013,France,1
5142695,Erro,2006,Works on Paper,"2,004",11/23/2013,USA,1
5145569,Erro,2006,Paintings,null,11/20/2013,France,1
5145570,Erro,2011,Paintings,"12,653",11/20/2013,France,1
5145572,Erro,2009,Paintings,"5,061",11/20/2013,France,1
5152856,Erro,2006,Paintings,null,11/23/2013,France,1
5156196,Erro,1975,Paintings,null,12/4/2013,France,1
5162969,Erro,2008,Paintings,161,11/26/2013,Denmark,1
5162970,Erro,2008,Paintings,null,11/26/2013,Denmark,1
5169164,Erro,1975,Works on Paper,"1,715",10/29/2013,France,1
5169640,Erro,1978,Paintings,null,12/6/2013,France,1
5174524,Erro,1957,Paintings,null,12/12/2013,France,1
5174527,Erro,1966,Paintings,null,12/12/2013,France,1
5175224,Erro,1961,Paintings,null,12/2/2013,USA,1
5177694,Erro,1984,Prints,496,1/14/2014,Belgium,1
5181781,Erro,1991,Paintings,"39,191",12/3/2013,France,1
5181785,Erro,1990,Works on Paper,"1,306",12/3/2013,France,1
5181787,Erro,1974,Works on Paper,"3,396",12/3/2013,France,1
5181791,Erro,1998,Works on Paper,"9,145",12/3/2013,France,1
5181792,Erro,1986,Paintings,"9,145",12/3/2013,France,1
5181798,Erro,1992,Works on Paper,"5,225",12/3/2013,France,1
5181804,Erro,1977,Paintings,"22,208",12/3/2013,France,1
5181807,Erro,1987,Paintings,"12,410",12/3/2013,France,1
5181811,Erro,1987,Paintings,"7,838",12/3/2013,France,1
5181815,Erro,1984,Paintings,"5,879",12/3/2013,France,1
5181828,Erro,1985,Paintings,"5,879",12/3/2013,France,1
5181831,Erro,1987,Paintings,"6,532",12/3/2013,France,1
5181835,Erro,1987,Paintings,"7,838",12/3/2013,France,1
5181837,Erro,1986,Paintings,"7,838",12/3/2013,France,1
5181874,Erro,2006,Paintings,null,12/15/2013,Belgium,1
5181875,Erro,2006,Paintings,null,12/15/2013,Belgium,1
5182852,Erro,1962,Paintings,null,12/15/2013,France,1
5182865,Erro,2002,Paintings,null,12/15/2013,France,1
5182869,Erro,1963,Works on Paper,null,12/15/2013,France,1
5182895,Erro,1962,Sculpture,"1,764",12/15/2013,France,1
5182948,Erro,1967,Paintings,"7,838",12/3/2013,France,1
5182950,Erro,1987,Paintings,"19,595",12/3/2013,France,1
5182953,Erro,1959,Paintings,"7,185",12/3/2013,France,1
5184565,Erro,1961,Works on Paper,"2,225",12/16/2013,France,1
5184566,Erro,1976,Works on Paper,null,12/16/2013,France,1
5185766,Erro,1987,Paintings,null,12/17/2013,France,1
5192294,Erro,2008,Paintings,"9,118",12/7/2013,France,1
5192295,Erro,2011,Paintings,"4,356",12/7/2013,France,1
5192296,Erro,2012,Paintings,null,12/7/2013,France,1
5202513,Erro,1991,Prints,null,12/20/2013,France,1
5235190,Erro,1992,Prints,null,2/28/2014,France,1
5246185,Erro,1961,Paintings,"91,446",4/1/2014,France,1
5246187,Erro,1961,Paintings,"101,406",4/1/2014,France,1
5258425,Erro,1992,Prints,231,3/21/2014,France,1
5267025,Erro,2008,Sculpture,"1,314",3/16/2014,France,1
5267031,Erro,2010,Paintings,null,3/16/2014,France,1
5268712,Erro,2006,Paintings,null,3/22/2014,USA,1
5270873,Erro,2001,Sculpture,null,3/26/2014,France,1
5270874,Erro,2005,Sculpture,"1,023",3/26/2014,France,1
5273301,Erro,1963,Works on Paper,null,3/28/2014,France,1
5273491,Erro,2009,Paintings,null,3/28/2014,France,1
5273492,Erro,2011,Paintings,"7,730",3/28/2014,France,1
